timestamp_utc,elapsed_sec,phase,service,container_name,cpu_percent,memory_usage_bytes,memory_limit_bytes,memory_percent,gpu_available,gpu_count,gpu_memory_used_mb,gpu_memory_total_mb,gpu_utilization_percent_max,gpu_per_device
2026-04-18T07:22:02.426577+00:00,2098.528,preprocess,visual-preprocessing-service,tgn-implementation-visual-preprocessing-service-1,66.3,204472320,16481936998,1.24,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:22:02.426577+00:00,2098.528,preprocess,visual-feature-extraction-service,tgn-implementation-visual-feature-extraction-service-1,8.31,1226213163,16481936998,7.44,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:22:06.447435+00:00,2102.551,text_processing,text-processing-service,tgn-implementation-text-processing-service-1,0.2,173119897,16481936998,1.05,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:22:08.506004+00:00,2104.603,preprocess,visual-preprocessing-service,tgn-implementation-visual-preprocessing-service-1,94.95,204262604,16481936998,1.24,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:22:08.506004+00:00,2104.603,preprocess,visual-feature-extraction-service,tgn-implementation-visual-feature-extraction-service-1,0.27,1171452329,16481936998,7.11,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:22:15.097352+00:00,2111.195,preprocess,visual-preprocessing-service,tgn-implementation-visual-preprocessing-service-1,90.38,204472320,16481936998,1.24,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:22:15.097352+00:00,2111.195,preprocess,visual-feature-extraction-service,tgn-implementation-visual-feature-extraction-service-1,0.26,1171452329,16481936998,7.11,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:22:22.479742+00:00,2118.578,preprocess,visual-preprocessing-service,tgn-implementation-visual-preprocessing-service-1,89.28,204367462,16481936998,1.24,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:22:22.479742+00:00,2118.578,preprocess,visual-feature-extraction-service,tgn-implementation-visual-feature-extraction-service-1,0.27,1171452329,16481936998,7.11,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:22:29.947688+00:00,2126.047,preprocess,visual-preprocessing-service,tgn-implementation-visual-preprocessing-service-1,90.93,204262604,16481936998,1.24,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:22:29.947688+00:00,2126.047,preprocess,visual-feature-extraction-service,tgn-implementation-visual-feature-extraction-service-1,0.26,1171452329,16481936998,7.11,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:22:37.064387+00:00,2133.168,preprocess,visual-preprocessing-service,tgn-implementation-visual-preprocessing-service-1,0.46,204682035,16481936998,1.24,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:22:37.064387+00:00,2133.168,preprocess,visual-feature-extraction-service,tgn-implementation-visual-feature-extraction-service-1,12.7,1172526071,16481936998,7.11,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:22:39.087860+00:00,2135.191,text_processing,text-processing-service,tgn-implementation-text-processing-service-1,0.17,173119897,16481936998,1.05,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:22:41.157959+00:00,2137.258,preprocess,visual-preprocessing-service,tgn-implementation-visual-preprocessing-service-1,92.69,204367462,16481936998,1.24,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:22:41.157959+00:00,2137.258,preprocess,visual-feature-extraction-service,tgn-implementation-visual-feature-extraction-service-1,0.26,1171452329,16481936998,7.11,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:22:48.569147+00:00,2144.668,preprocess,visual-preprocessing-service,tgn-implementation-visual-preprocessing-service-1,90.25,204786892,16481936998,1.24,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:22:48.569147+00:00,2144.668,preprocess,visual-feature-extraction-service,tgn-implementation-visual-feature-extraction-service-1,0.25,1171452329,16481936998,7.11,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:22:52.630674+00:00,2148.729,text_processing,text-processing-service,tgn-implementation-text-processing-service-1,0.26,173434470,16481936998,1.05,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:22:54.712072+00:00,2150.81,preprocess,visual-preprocessing-service,tgn-implementation-visual-preprocessing-service-1,92.97,204682035,16481936998,1.24,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:22:54.712072+00:00,2150.81,preprocess,visual-feature-extraction-service,tgn-implementation-visual-feature-extraction-service-1,0.26,1171452329,16481936998,7.11,True,1,627,4096,0.0,0:627/4096MB@0.0%
2026-04-18T07:23:01.564980+00:00,2157.663,preprocess,visual-preprocessing-service,tgn-implementation-visual-preprocessing-service-1,0.21,204157747,16481936998,1.24,True,1,627,4096,0.0,0:627/4096MB@0.0%
